Place,Player,Time (seconds),Date Submitted
256,McBobX,42.91,2017-01-02T13:01:18Z
258,NickDoane,42.27,2018-06-09T02:43:16Z
259,cynthwave,41.93,2021-03-09T23:30:24Z
260,CostilerAphid18,41.81,2021-10-14T03:51:05Z
261,DeathbyGamingFTW,41.69,2022-01-25T13:39:41Z
262,Lor,41.14,2021-03-13T13:42:06Z
263,Badow_,41.06,2021-12-20T18:15:20Z
264,Alvacerus,40.97,2025-07-20T10:06:57Z
265,raulblz,40.82,2022-06-05T05:02:58Z
266,YoshiTweet,40.51,2018-05-27T22:29:32Z
267,JulieAntarctica,40.1,2022-07-23T07:37:02Z
268,IvanderLatidjan,39.97,2024-11-26T11:00:23Z
269,raffa_gs,39.95,2023-10-12T13:06:51Z
270,Caidren,39.28,2018-10-20T03:35:31Z
271,WavyJay,39.21,2025-08-25T02:41:58Z
272,SMMIAN,38.28,2018-01-22T00:26:01Z
273,Solidarity5,38.23,2022-11-11T01:30:12Z
274,HystericalPeanut,38.08,2022-09-05T02:03:38Z
275,Oyin,36.18,2024-03-04T17:03:55Z
276,OddPandemonium,35.29,2020-11-14T19:40:11Z
277,NamcoPlayer9871,35.17,2022-03-06T23:39:34Z
278,FuzzBug,35.07,2020-05-14T12:09:44Z
279,juanriplaygames,34.55,2024-08-06T00:41:22Z
280,MegaSeraphimon,33.44,2022-09-18T22:39:29Z
281,Philnemba,32.74,2018-01-28T09:14:54Z
282,Never_Always,32.36,2023-03-11T13:02:09Z
283,Thebananahand,30.42,2023-03-25T02:41:11Z
284,RetrophileTV,27.54,2016-12-11T06:59:58Z
285,TDP_320,13.5,2021-03-25T03:27:37Z
286,Xavier,0.01,2016-12-11T07:00:58Z
286,nutella4eva,0.01,2016-12-11T07:01:32Z
286,Pudding9759,0.01,2017-11-29T02:53:50Z
